origin,carrier,count
ATL,9E,5
ATL,AA,22
ATL,CO,11
ATL,DL,360
ATL,EV,245
ATL,F9,3
ATL,FL,241
ATL,MQ,2
ATL,NW,14
ATL,OH,12
ATL,OO,11
ATL,UA,8
ATL,US,9
ATL,XE,3
ATL,YV,7
DFW,9E,2
DFW,AA,448
DFW,AS,3
DFW,CO,10
DFW,DL,10
DFW,F9,4
DFW,FL,7
DFW,MQ,254
DFW,NW,5
DFW,OH,3
DFW,OO,5
DFW,UA,13
DFW,US,18
DFW,XE,4
ORD,AA,203
ORD,AS,4
ORD,B6,7
ORD,CO,14
ORD,DL,10
ORD,MQ,253
ORD,NW,17
ORD,OH,9
ORD,OO,125
ORD,UA,228
ORD,US,19
ORD,XE,3
ORD,YV,60
SFO,AA,34
SFO,AS,14
SFO,B6,5
SFO,CO,14
SFO,DL,12
SFO,F9,4
SFO,FL,2
SFO,HA,1
SFO,MQ,5
SFO,NW,10
SFO,OO,110
SFO,UA,125
SFO,US,20
SFO,WN,24
SFO,XE,5
